Qui a peint la célèbre fresque La Cène (The Last Supper) ?;Leonard de Vinci
Quel mouvement artistique est caractérisé par l'utilisation de couleurs vives et des coups de pinceau rapides, souvent inspiré par la lumière naturelle ?;L'impressionnisme
Quelle est la technique artistique qui consiste à graver des images sur des plaques de métal, généralement en utilisant des acides ?;La gravure à l'eau-forte (etching)
Qui a peint le plafond de la chapelle Sixtine au Vatican ?;Michel-Ange (Michelangelo)
A quelle occasion la tour Eiffel a t elle été construite ?;exposition universelle de paris
Comment appelle t on les comédiens de la Comédie Française ?;les sociétaires
Qui est l'auteur des bandes dessinnées asterix le gaulois ?;René Goscinny
Quel est le nom du célèbre architecte espagnol connu pour ses œuvres inspirées de la nature notamment la basilique de la Sagrada Família à Barcelone ?;Antoni Gaudí
Quel est le nom du genre théâtral qui combine des éléments de musique de danse et de théâtre, souvent avec une narration forte ?;La comédie musicale (Musical)
Quel est le nom du célèbre opéra de Wolfgang Amadeus Mozart qui raconte l'histoire de l'innocente Pamina et du prince Tamino ?;La Flûte enchantée (The Magic Flute)
Quel poète et dramaturge anglais est souvent considéré comme l'un des plus grands écrivains de la langue anglaise et a écrit des pièces comme Hamlet et Roméo et Juliette ?;William Shakespeare
Quel animal est souvent représenté comme rusé et manipulateur dans les fables de La Fontaine ?;renard
Quel est le nom du célèbre musée d'art à Paris, anciennement une gare, qui abrite des œuvres impressionnistes et post-impressionnistes ?;Le Musée d'Orsay
Quel sculpteur français est connu pour ses œuvres monumentales en marbre dont Le Penseur et La Porte de l'Enfer ?;Auguste Rodin
Quel compositeur autrichien est célèbre pour ses symphonies notamment la Cinquième Symphonie et La Symphonie pastorale ?;Ludwig van Beethoven