Depuis quand la Norvège est elle indépendante ?;1905;NUMBER
Quel est le plus grand désert du monde ?;Antarctique;NONE
Quel est le nom du premier satellite artificiel envoyé dans l'espace ?;Spoutnik 1;NONE
Combien de cheveux en moyenne un humain a-t-il sur la tête ?;100,000;NUMBER
Quel est le plus long fleuve du monde ?;Nil;NONE
Quel est le nom de la monnaie utilisée au Japon ?;Yen;NONE
Combien de planètes mineures (ou astéroïdes) ont été découvertes dans notre système solaire ?;1,113,527;NUMBER
Qui a composé la Symphonie n°5 ?;Ludwig van Beethoven;NONE
Quel pays a remporté le plus de médailles d'or aux Jeux Olympiques d'été de 2024 après les Etats-Unis ?;Chine;NONE
Combien de langues différentes sont parlées dans le monde aujourd'hui ?;7,168;NUMBER
Quel est l'élément chimique représenté par le symbole 'W' ?Tungstène;NONE